0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:30:08 +0200] "GET /ProjekatWebP/MainVideoServlet?id=6 HTTP/1.1" 200 5150
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:40 +0200] "GET /ProjekatWebP/MainVideo.html?id=6 HTTP/1.1" 200 6592
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:40 +0200] "GET /ProjekatWebP/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:40 +0200] "GET /ProjekatWebP/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:40 +0200] "GET /ProjekatWebP/js/mainVideo.js HTTP/1.1" 200 17050
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:40 +0200] "GET /ProjekatWebP/css/mainVideo.css HTTP/1.1" 200 4469
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:40 +0200] "GET /ProjekatWebP/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:40 +0200] "GET /ProjekatWebP/images/logo.png HTTP/1.1" 200 27405
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:40 +0200] "GET /ProjekatWebP/images/like.svg HTTP/1.1" 200 2315
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:40 +0200] "GET /ProjekatWebP/css/navigation.css HTTP/1.1" 200 5875
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:40 +0200] "GET /ProjekatWebP/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:40 +0200] "GET /ProjekatWebP/images/pozadina.jpg HTTP/1.1" 200 1107321
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:40 +0200] "GET /ProjekatWebP/MainVideoServlet?id=6 HTTP/1.1" 200 5150
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:40 +0200] "GET /ProjekatWebP/images/nikola.jpg HTTP/1.1" 200 181756
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:40 +0200] "GET /ProjekatWebP/images/janko.jpg HTTP/1.1" 200 11611
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:41 +0200] "GET /ProjekatWebP/images/zivko.jpg HTTP/1.1" 200 12886
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:41 +0200] "GET /ProjekatWebP/images/pera.jpg HTTP/1.1" 200 86780
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:45 +0200] "GET /ProjekatWebP/Index.html HTTP/1.1" 200 2487
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:45 +0200] "GET /ProjekatWebP/js/index.js HTTP/1.1" 200 1892
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:45 +0200] "GET /ProjekatWebP/css/index.css HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:45 +0200] "GET /ProjekatWebP/VideosServlet HTTP/1.1" 200 8414
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:45 +0200] "GET /ProjekatWebP/images/thumbnail.png HTTP/1.1" 200 21032
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:47 +0200] "GET /ProjekatWebP/Login.html HTTP/1.1" 200 3345
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:47 +0200] "GET /ProjekatWebP/css/loginForm.css HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:47 +0200] "GET /ProjekatWebP/js/Login.js HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:54 +0200] "POST /ProjekatWebP/LoginServlet HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:55 +0200] "GET /ProjekatWebP/UserChannel.html?userName=nikola HTTP/1.1" 200 5678
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:55 +0200] "GET /ProjekatWebP/js/user.js HTTP/1.1" 200 7877
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:55 +0200] "GET /ProjekatWebP/css/user.css HTTP/1.1" 200 2437
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:31:55 +0200] "GET /ProjekatWebP/UserServlet?userName=nikola HTTP/1.1" 200 3440
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:32:01 +0200] "GET /ProjekatWebP/js/mainVideo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:32:01 +0200] "GET /ProjekatWebP/MainVideoServlet?id=6 HTTP/1.1" 200 5468
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:32:09 +0200] "GET /ProjekatWebP/VideosServlet HTTP/1.1" 200 8730
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:32:10 +0200] "GET /ProjekatWebP/LogOutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:32:11 +0200] "GET /ProjekatWebP/VideosServlet HTTP/1.1" 200 8414
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:32:23 +0200] "POST /ProjekatWebP/LoginServlet HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:32:23 +0200] "GET /ProjekatWebP/UserServlet?userName=nikola HTTP/1.1" 200 3440
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:32:27 +0200] "GET /ProjekatWebP/js/mainVideo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:32:27 +0200] "GET /ProjekatWebP/MainVideoServlet?id=6 HTTP/1.1" 200 5468
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:32:30 +0200] "GET /ProjekatWebP/LogOutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:32:30 +0200] "GET /ProjekatWebP/VideosServlet HTTP/1.1" 200 8414
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:32:54 +0200] "POST /ProjekatWebP/LoginServlet HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:32:54 +0200] "GET /ProjekatWebP/UserChannel.html?userName=pera HTTP/1.1" 200 5678
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:32:54 +0200] "GET /ProjekatWebP/UserServlet?userName=pera HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:33:03 +0200] "GET /ProjekatWebP/VideosServlet HTTP/1.1" 200 8724
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:33:05 +0200] "GET /ProjekatWebP/MainVideo.html?id=2 HTTP/1.1" 200 6592
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:33:05 +0200] "GET /ProjekatWebP/js/mainVideo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:33:05 +0200] "GET /ProjekatWebP/MainVideoServlet?id=2 HTTP/1.1" 200 7525
0:0:0:0:0:0:0:1 - - [11/Jun/2018:12:33:09 +0200] "GET /ProjekatWebP/MainVideoServlet?id=6 HTTP/1.1" 200 5462
