127.0.0.1 - - [08/Jun/2018:12:18:46 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:18:47 +0200] "GET /ProjekatWebP/Index.html HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:18:47 +0200] "GET /ProjekatWebP/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:18:47 +0200] "GET /ProjekatWebP/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:18:47 +0200] "GET /ProjekatWebP/js/index.js HTTP/1.1" 200 1892
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:18:47 +0200] "GET /ProjekatWebP/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:18:47 +0200] "GET /ProjekatWebP/css/index.css HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:18:47 +0200] "GET /ProjekatWebP/images/logo.png HTTP/1.1" 200 27405
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:18:48 +0200] "GET /ProjekatWebP/css/navigation.css HTTP/1.1" 200 5875
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:18:48 +0200] "GET /ProjekatWebP/images/pozadina.jpg HTTP/1.1" 200 1107321
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:18:48 +0200] "GET /ProjekatWebP/bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:18:49 +0200] "GET /ProjekatWebP/VideosServlet HTTP/1.1" 200 10561
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:18:49 +0200] "GET /ProjekatWebP/images/thumbnail.png HTTP/1.1" 200 21032
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:19:02 +0200] "GET /ProjekatWebP/VideosServlet HTTP/1.1" 200 10561
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:19:07 +0200] "GET /ProjekatWebP/Register.html HTTP/1.1" 200 3753
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:19:07 +0200] "GET /ProjekatWebP/js/register.js HTTP/1.1" 200 1999
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:19:26 +0200] "POST /ProjekatWebP/RegisterServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:19:26 +0200] "GET /ProjekatWebP/Index.html HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:19:27 +0200] "GET /ProjekatWebP/VideosServlet HTTP/1.1" 200 10850
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:20:13 +0200] "GET /ProjekatWebP/VideosServlet HTTP/1.1" 200 10850
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:20:19 +0200] "POST /ProjekatWebP/LoginServlet HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:20:19 +0200] "GET /ProjekatWebP/UserChannel.html?userName=ert HTTP/1.1" 200 5834
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:20:19 +0200] "GET /ProjekatWebP/js/user.js HTTP/1.1" 200 7769
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:20:19 +0200] "GET /ProjekatWebP/UserServlet?userName=ert HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:20:19 +0200] "GET /ProjekatWebP/images/ert.jpg HTTP/1.1" 200 28440
